Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
-1,0.0014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0048,-1,-1,-1,-1,-1,0.0113,-1
-1,-1,0.0083,0.82490278,3e-4,-1,0.0105,5e-4,0.0072,0.074,-1,-1,0.0025,0.0053,1.0472,0.0016,-1,-1,0.0025,-1
-1,-1,0.0292,0.98669444,-1,-1,-1,8e-4,-1,-1,-1,-1,0.0017,-1,1.1961,0.0015,-1,-1,-1,-1
0.0595,-1,0.0345,0.75109722,6e-4,-1,0.0066,-1,0.0051,0.0708,-1,-1,0.0018,0.0053,2.1839,0.0039,-1,-1,-1,0.0148
-1,-1,0.0081,1.08103472,-1,-1,0.0048,-1,-1,0.0575,-1,-1,-1,-1,-1,-1,0.0633,0.0029,0.0026,0.0865
-1,0.0015,0.0238,1.01708611,0.0022,-1,0.0029,0.001,-1,-1,0.0334,-1,0.0033,0.0099,1.7742,-1,-1,-1,0.005,-1
-1,7e-4,-1,-1,0.0026,-1,-1,6e-4,-1,-1,-1,-1,-1,0.0082,-1,-1,-1,-1,-1,-1
0.0459,6e-4,0.0206,-1,-1,0.0266,-1,6e-4,-1,-1,-1,-1,-1,-1,-1,-1,0.0641,0.0032,-1,-1
-1,8e-4,-1,-1,0.005,-1,0.005,-1,-1,0.0575,0.0375,-1,-1,0.0054,-1,-1,0.0892,0.0037,-1,0.0085
0.048,-1,0.0128,1.03725174,0.001,0.0298,-1,7e-4,-1,0.0673,0.0334,-1,0.0045,0.0057,0.781,7e-4,0.0736,0.0048,0.0023,-1
0.0427,-1,-1,0.98777604,-1,-1,-1,-1,0.0053,0.0591,-1,-1,0.0018,-1,2.5484,-1,-1,0.0034,0.0023,0.0097
0.0605,0.0019,-1,0.72453819,0.0017,-1,-1,-1,-1,0.0611,0.0477,-1,-1,-1,0.9917,-1,0.0791,0.0042,-1,-1
0.0555,5e-4,-1,1.07089583,-1,-1,-1,0.001,0.0085,0.0633,0.0349,-1,0.0052,0.0096,3.4853,-1,-1,0.0036,0.0065,0.0104
0.0429,-1,0.0206,0.6071375,-1,-1,-1,-1,0.0068,-1,-1,-1,0.0024,-1,1.7418,-1,-1,-1,0.0031,-1
-1,-1,0.0126,1.03455139,-1,0.0406,-1,-1,-1,0.067,-1,-1,-1,-1,0.9515,-1,-1,0.0043,0.0024,0.0137
-1,-1,0.0128,0.61858229,0.0014,0.0338,0.0027,-1,0.0062,0.0822,0.0466,-1,0.0033,-1,0.7475,-1,0.0874,0.0039,0.0036,-1
0.0565,-1,0.01,0.98408681,-1,0.0317,0.0061,6e-4,0.0051,0.0663,0.0472,-1,0.0032,0.0051,2.9546,-1,0.0585,0.0042,0.0051,0.0117
-1,7e-4,-1,1.31748611,-1,0.0298,-1,6e-4,0.0034,0.0702,-1,0.0015,0.0028,0.0066,0.8784,-1,-1,0.0031,0.0028,0.0088
-1,-1,-1,1.00987153,-1,-1,-1,6e-4,-1,-1,-1,-1,0.0031,-1,-1,-1,-1,-1,0.0043,0.0088
-1,-1,-1,-1,-1,-1,-1,-1,0.0089,-1,-1,-1,0.0038,-1,0.9739,-1,-1,-1,0.0041,-1
-1,7e-4,-1,0.67587812,6e-4,0.0355,0.0051,-1,0.0048,-1,0.0339,-1,0.0033,-1,-1,-1,0.0617,-1,0.0033,-1
0.0424,7e-4,-1,0.61941493,-1,0.0327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0649,-1,-1,-1
-1,7e-4,-1,-1,-1,-1,-1,-1,0.0046,-1,-1,-1,-1,-1,-1,0.002,-1,-1,-1,-1
-1,-1,-1,0.66773611,8e-4,-1,-1,7e-4,0.0049,-1,-1,-1,0.0031,0.006,-1,-1,0.0576,-1,0.002,-1
-1,0.0012,0.0168,0.85316667,-1,0.0306,0.0031,0.001,-1,0.0679,-1,-1,-1,-1,1.3926,-1,0.0606,-1,-1,-1
0.0563,0.0012,0.0118,0.97564236,-1,0.0491,-1,9e-4,0.0053,0.1353,0.048,0.0012,0.0025,0.0053,-1,-1,0.089,0.0057,0.0021,-1
