Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0241,8e-4,8e-4,0.44742569,0,0.0178,0.0084,3e-4,-1,0.0278,-1,0,0.0019,0.0032,0.4456,0,0.0362,0.0017,0.0014,0.025
0.0607,0.0024,0.0255,-1,0.0015,0.0376,0.0046,-1,0.006,-1,0.0531,0,0.0043,0.0101,0.8086,0,0.1427,0.008,-1,0.0161
0.1391,4e-4,0.0201,0.75068368,8e-4,0.0609,0.004,9e-4,0.0034,0.1175,0.0692,0,0.0027,0.0083,1.4833,0,0.2538,0.0071,0.0015,-1
-1,-1,0,0.64407083,0,0.0713,0.0021,5e-4,0.0079,0.085,-1,0,1e-4,-1,-1,0,0.1778,-1,9e-4,0.0106
-1,0.0013,-1,0.48248021,0.0012,0.0513,0.0016,6e-4,0.0045,-1,0.0317,0,-1,0.0035,0.4006,0,0.1361,0.0043,0.0042,0.005
0.0798,0,0,0.83342014,-1,0.0248,0.0029,0,0.0049,0.0515,0.0408,3e-4,0.0039,0.0046,2.456,0,0.1016,0.0033,0.0052,0.0102
0.0798,0.001,0.0039,0.59159444,2e-4,0.0389,0,3e-4,0.0016,0.0493,0.031,0,0.0012,0.0056,-1,0,0.146,0.0036,0.0016,0.0078
0.0723,0.0022,0.0153,-1,0,0.0373,0.0013,0,0.0043,0.086,0.0476,1e-4,0.0028,0.0051,0.501,0,0.1387,0.0047,0.003,0.0098
-1,0.0021,0.0222,0.4277191,0,0.0363,0.0024,8e-4,0.0022,0.0973,-1,5e-4,0.0039,0.005,0.4695,0,0.1543,0.0049,0.0062,0.0071
0.1329,0.0012,0.0156,0.96540694,0,0.0675,0,5e-4,0.0065,0.1165,-1,0,0.0045,0.004,0.4774,0,0.3097,0.0057,0.0039,0.0088
0.0443,1e-4,0.0251,1.21823785,0,0.0327,5e-4,4e-4,5e-4,0.0889,0.0299,0,0.0046,0.0042,1.1253,-1,-1,0.002,0.0065,0.0087
0.0452,0,0.0066,1.33832292,0,0.0401,-1,-1,-1,0.0778,0.0279,-1,0.0043,0.0056,1.808,0,0.0693,0.0045,0.003,0.0143
0.0247,0,0.0013,1.04187326,8e-4,-1,5e-4,7e-4,0.0042,0.0641,0.016,0,0.0061,0.0088,0.5466,0,0.0377,0.0023,0.0022,0.0175
0.0283,0.0014,0.0108,1.06306771,9e-4,0.0359,0.0016,0.0012,0.0066,0.0755,0.0259,0.002,0.0047,0.0061,1.2826,0,0.0485,-1,0.0051,0.0231
